"gene_symbol","regulation"
"H2AFV","upregulated"
"PHB","upregulated"
"C12orf10","upregulated"
"FAM92A","upregulated"
"H1F0","upregulated"
"YARS","upregulated"
"ADSS","upregulated"
"C5orf51","upregulated"
"WDYHV1","upregulated"
"AC027031.2","upregulated"
"MARCH5","upregulated"
"MARCH7","upregulated"
"C5orf30","upregulated"
"VARS","upregulated"
"IMPAD1","upregulated"
"MT-ND6","upregulated"
"KIAA0100","upregulated"
"AC118549.1","upregulated"
"KARS","upregulated"
"FAM126B","upregulated"
"UHRF1BP1L","upregulated"
"MATR3.1","upregulated"
"C7orf26","upregulated"
"AC098829.1","upregulated"
"BTBD11","upregulated"
"MARCH8","upregulated"
"H3F3B","upregulated"
"KIAA0355","upregulated"
"C16orf72","upregulated"
"FAM122B","upregulated"
"TWISTNB","upregulated"
"MT-ND3","downregulated"
"AC092691.1","downregulated"
"H1FX","downregulated"
"AL157778.1","downregulated"
"FAM155A","downregulated"
"HIST1H4C","downregulated"
"ATP5MD","downregulated"
"AC233296.1","downregulated"
"AUXG01000058.1","downregulated"
"KIAA1211","downregulated"
"MT-ND4L","downregulated"
"ATP5MPL","downregulated"
"HIST1H1E","downregulated"
"H3F3A","downregulated"
"H2AFY2","downregulated"
"AC114316.1","downregulated"
"MT-CYB","downregulated"
"TCTEX1D2","downregulated"
"AC009315.1","downregulated"
"AL033504.1","downregulated"
"C20orf194","downregulated"
"MT-CO1","downregulated"
"C11orf49","downregulated"
"AL049828.1","downregulated"
"CASTOR3","downregulated"
"MT-CO3","downregulated"
"AC104041.1","downregulated"
"MARS","downregulated"
"MT-CO2","downregulated"
"AL391807.1","downregulated"
"AC010642.2","downregulated"
"AL008633.1","downregulated"
"KIAA0895L","downregulated"
"AL162231.1","downregulated"
"AL133346.1","downregulated"
"AC011603.2","downregulated"
"AC012146.1","downregulated"
"AL049637.2","downregulated"
"WDR60","downregulated"
"MT-ND2","downregulated"
"AC046134.2","downregulated"
"AC004540.2","downregulated"
"AL450998.2","downregulated"
"AC092683.1","downregulated"
"AL050309.1","downregulated"
"AL691432.2","downregulated"
"AP001453.2","downregulated"
"WDR61","downregulated"
"AC079154.1","downregulated"
"AC079781.5","downregulated"
"AC025159.1","downregulated"
"AC109466.1","downregulated"
"AC079089.1","downregulated"
"AC021504.1","downregulated"
"AC090945.1","downregulated"
"C15orf41","downregulated"
"WDR34","downregulated"
"CYHR1","downregulated"
"GARS-DT","downregulated"
"TARSL2","downregulated"
"TMEM161B-AS1","downregulated"
"TTC37","downregulated"
"AC007938.3","downregulated"
"AC007656.2","downregulated"
"AC004816.1","downregulated"
"AC090517.5","downregulated"
"AL135925.1","downregulated"
"AC105942.1","downregulated"
"AC103876.1","downregulated"
"RFX3-AS1","downregulated"
"AL445123.2","downregulated"
"LINC01184","downregulated"
"AL590705.1","downregulated"
"AC011346.1","downregulated"
"LINC00476","downregulated"
"AC097376.3","downregulated"
"AC019205.1","downregulated"
"ICK","downregulated"
"Z83843.1","downregulated"
"AC090204.1","downregulated"
"MAATS1","downregulated"
"AC009126.1","downregulated"
"AC009961.1","downregulated"
"AL513166.1","downregulated"
"AC040168.1","downregulated"
"COX10-AS1","downregulated"
"AC242426.2","downregulated"
"MARCH11","downregulated"
"AZIN1-AS1","downregulated"
"AC090578.1","downregulated"
"AC073050.1","downregulated"
"AC092835.1","downregulated"
